Path,Sensor,Acq_Type,User,Liveness,Material,Acq_Number,Finger,Pattern
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_3/RIGHT_THUMB.jpg,Dermalog,Consensual,31_18_1,Live,A_3,,RIGHT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_3/LEFT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Live,A_3,,LEFT_MIDDLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_3/RIGHT_INDEX.jpg,Dermalog,Consensual,31_18_1,Live,A_3,,RIGHT_INDEX,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_3/LEFT_RING.jpg,Dermalog,Consensual,31_18_1,Live,A_3,,LEFT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_3/LEFT_THUMB.jpg,Dermalog,Consensual,31_18_1,Live,A_3,,LEFT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_3/LEFT_LITTLE.jpg,Dermalog,Consensual,31_18_1,Live,A_3,,LEFT_LITTLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_3/RIGHT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Live,A_3,,RIGHT_MIDDLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_3/RIGHT_RING.jpg,Dermalog,Consensual,31_18_1,Live,A_3,,RIGHT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_3/LEFT_INDEX.jpg,Dermalog,Consensual,31_18_1,Live,A_3,,LEFT_INDEX,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_3/RIGHT_LITTLE.jpg,Dermalog,Consensual,31_18_1,Live,A_3,,RIGHT_LITTLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_4/RIGHT_THUMB.jpg,Dermalog,Consensual,31_18_1,Live,A_4,,RIGHT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_4/LEFT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Live,A_4,,LEFT_MIDDLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_4/RIGHT_INDEX.jpg,Dermalog,Consensual,31_18_1,Live,A_4,,RIGHT_INDEX,arch
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_4/LEFT_RING.jpg,Dermalog,Consensual,31_18_1,Live,A_4,,LEFT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_4/LEFT_THUMB.jpg,Dermalog,Consensual,31_18_1,Live,A_4,,LEFT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_4/LEFT_LITTLE.jpg,Dermalog,Consensual,31_18_1,Live,A_4,,LEFT_LITTLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_4/RIGHT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Live,A_4,,RIGHT_MIDDLE,arch
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_4/RIGHT_RING.jpg,Dermalog,Consensual,31_18_1,Live,A_4,,RIGHT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_4/LEFT_INDEX.jpg,Dermalog,Consensual,31_18_1,Live,A_4,,LEFT_INDEX,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_4/RIGHT_LITTLE.jpg,Dermalog,Consensual,31_18_1,Live,A_4,,RIGHT_LITTLE,arch
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_5/RIGHT_THUMB.jpg,Dermalog,Consensual,31_18_1,Live,A_5,,RIGHT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_5/LEFT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Live,A_5,,LEFT_MIDDLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_5/RIGHT_INDEX.jpg,Dermalog,Consensual,31_18_1,Live,A_5,,RIGHT_INDEX,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_5/LEFT_RING.jpg,Dermalog,Consensual,31_18_1,Live,A_5,,LEFT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_5/LEFT_THUMB.jpg,Dermalog,Consensual,31_18_1,Live,A_5,,LEFT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_5/LEFT_LITTLE.jpg,Dermalog,Consensual,31_18_1,Live,A_5,,LEFT_LITTLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_5/RIGHT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Live,A_5,,RIGHT_MIDDLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_5/RIGHT_RING.jpg,Dermalog,Consensual,31_18_1,Live,A_5,,RIGHT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_5/LEFT_INDEX.jpg,Dermalog,Consensual,31_18_1,Live,A_5,,LEFT_INDEX,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_5/RIGHT_LITTLE.jpg,Dermalog,Consensual,31_18_1,Live,A_5,,RIGHT_LITTLE,arch
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_1/RIGHT_THUMB.jpg,Dermalog,Consensual,31_18_1,Live,A_1,,RIGHT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_1/LEFT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Live,A_1,,LEFT_MIDDLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_1/RIGHT_INDEX.jpg,Dermalog,Consensual,31_18_1,Live,A_1,,RIGHT_INDEX,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_1/LEFT_RING.jpg,Dermalog,Consensual,31_18_1,Live,A_1,,LEFT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_1/LEFT_THUMB.jpg,Dermalog,Consensual,31_18_1,Live,A_1,,LEFT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_1/LEFT_LITTLE.jpg,Dermalog,Consensual,31_18_1,Live,A_1,,LEFT_LITTLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_1/RIGHT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Live,A_1,,RIGHT_MIDDLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_1/RIGHT_RING.jpg,Dermalog,Consensual,31_18_1,Live,A_1,,RIGHT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_1/LEFT_INDEX.jpg,Dermalog,Consensual,31_18_1,Live,A_1,,LEFT_INDEX,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_1/RIGHT_LITTLE.jpg,Dermalog,Consensual,31_18_1,Live,A_1,,RIGHT_LITTLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_2/RIGHT_THUMB.jpg,Dermalog,Consensual,31_18_1,Live,A_2,,RIGHT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_2/LEFT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Live,A_2,,LEFT_MIDDLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_2/RIGHT_INDEX.jpg,Dermalog,Consensual,31_18_1,Live,A_2,,RIGHT_INDEX,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_2/LEFT_RING.jpg,Dermalog,Consensual,31_18_1,Live,A_2,,LEFT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_2/LEFT_THUMB.jpg,Dermalog,Consensual,31_18_1,Live,A_2,,LEFT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_2/LEFT_LITTLE.jpg,Dermalog,Consensual,31_18_1,Live,A_2,,LEFT_LITTLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_2/RIGHT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Live,A_2,,RIGHT_MIDDLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_2/RIGHT_RING.jpg,Dermalog,Consensual,31_18_1,Live,A_2,,RIGHT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_2/LEFT_INDEX.jpg,Dermalog,Consensual,31_18_1,Live,A_2,,LEFT_INDEX,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Live/A_2/RIGHT_LITTLE.jpg,Dermalog,Consensual,31_18_1,Live,A_2,,RIGHT_LITTLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Fake_Mold/R_Fast_Pro_2/RIGHT_THUMB.jpg,Dermalog,Consensual,31_18_1,Fake_Mold,,R_Fast_Pro_2,RIGHT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Fake_Mold/R_Fast_Pro_2/LEFT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Fake_Mold,,R_Fast_Pro_2,LEFT_MIDDLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Fake_Mold/R_Fast_Pro_2/RIGHT_INDEX.jpg,Dermalog,Consensual,31_18_1,Fake_Mold,,R_Fast_Pro_2,RIGHT_INDEX,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Fake_Mold/R_Fast_Pro_2/LEFT_RING.jpg,Dermalog,Consensual,31_18_1,Fake_Mold,,R_Fast_Pro_2,LEFT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Fake_Mold/R_Fast_Pro_2/LEFT_THUMB.jpg,Dermalog,Consensual,31_18_1,Fake_Mold,,R_Fast_Pro_2,LEFT_THUMB,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Fake_Mold/R_Fast_Pro_2/LEFT_LITTLE.jpg,Dermalog,Consensual,31_18_1,Fake_Mold,,R_Fast_Pro_2,LEFT_LITTLE,arch
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Fake_Mold/R_Fast_Pro_2/RIGHT_MIDDLE.jpg,Dermalog,Consensual,31_18_1,Fake_Mold,,R_Fast_Pro_2,RIGHT_MIDDLE,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Fake_Mold/R_Fast_Pro_2/RIGHT_RING.jpg,Dermalog,Consensual,31_18_1,Fake_Mold,,R_Fast_Pro_2,RIGHT_RING,loop
/home/p4nzer96/Desktop/Morphing/Fingerprint/Morphenprint/LivDet-2021-Dataset/Dermalog_Consensual/31_18_1/Fake_Mold/R_Fast_Pro_2/LEFT_INDEX.jpg,Dermalog,Consensual,31_18_1,Fake_Mold,,R_Fast_Pro_2,LEFT_INDEX,loop
